hr	hc	α	c	v	r	z	pd	w	obj	status
3.0	1.0	0.15	1.5	0.3	0.5	0.03147414223190276	11.047232727414066	2.5343248809901966	20.29804154576542	LOCALLY_SOLVED
3.5	1.0	0.15	1.5	0.3	0.5	0.038588035463766816	11.079213761020224	2.4884456288438512	20.096096351696097	LOCALLY_SOLVED
4.0	1.0	0.15	1.5	0.3	0.5	0.045826803201950685	11.111389555916848	2.4427325745601403	19.89515785685151	LOCALLY_SOLVED
3.0	1.5	0.15	1.5	0.3	0.5	0.031449812925410214	10.997817528087499	2.522419499937961	20.083109985263032	LOCALLY_SOLVED
3.5	1.5	0.15	1.5	0.3	0.5	0.038592191276369335	11.029837680164635	2.476567883221878	19.882261038883936	LOCALLY_SOLVED
4.0	1.5	0.15	1.5	0.3	0.5	0.045860248013327026	11.062054309745724	2.4308840318959706	19.6824175093768	LOCALLY_SOLVED
3.0	0.5	0.1	2.0	0.3	0.5	-0.038120475236328145	11.209418274369435	2.825604549599621	19.355364505455153	LOCALLY_SOLVED
3.5	0.5	0.1	2.0	0.3	0.5	-0.034064325137253285	11.230248551935585	2.7946837662109085	19.2224143182903	LOCALLY_SOLVED
4.0	0.5	0.1	2.0	0.3	0.5	-0.029961488411801213	11.251153256999938	2.763824229418991	19.08991884202925	LOCALLY_SOLVED
3.0	1.0	0.1	2.0	0.3	0.5	-0.038362550414052475	11.17635439166813	2.8176453887727915	19.214652826850912	LOCALLY_SOLVED
3.5	1.0	0.1	2.0	0.3	0.5	-0.03429752350032587	11.197198617765965	2.7867343192490712	19.08219038848103	LOCALLY_SOLVED
4.0	1.0	0.1	2.0	0.3	0.5	-0.03018562735189926	11.218117680265712	2.755884852516219	18.95018237543027	LOCALLY_SOLVED
3.0	1.5	0.1	2.0	0.3	0.5	-0.03860681232261728	11.143291356037548	2.809688045746494	19.07444228205088	LOCALLY_SOLVED
