hm	hc	α	c	v	r	z	pd	w	obj	status
1.5	3.5	0.1	1.5	0.3	0.5	-0.02274021960701147	10.7665601933305	2.82614301766421	20.48045555610868	LOCALLY_SOLVED
2.0	3.5	0.1	1.5	0.3	0.5	-0.02725380695535109	10.779858013544583	2.8413685101913035	20.327284540535576	LOCALLY_SOLVED
1.0	4.0	0.1	1.5	0.3	0.5	-0.018374291595645128	10.720186124504476	2.8029124157092538	20.489351326519166	LOCALLY_SOLVED
1.5	4.0	0.1	1.5	0.3	0.5	-0.022903871153306166	10.733452055627536	2.8181046242984573	20.336177175748038	LOCALLY_SOLVED
2.0	4.0	0.1	1.5	0.3	0.5	-0.02743070861364495	10.74673885510958	2.8333250761517337	20.183517114280384	LOCALLY_SOLVED
1.0	3.0	0.15	1.5	0.3	0.5	-0.023069055708951697	10.70034474052908	2.810067718185161	20.19239935476666	LOCALLY_SOLVED
1.5	3.0	0.15	1.5	0.3	0.5	-0.02987826162555821	10.720266136565167	2.8329013936003515	19.96436891892452	LOCALLY_SOLVED
2.0	3.0	0.15	1.5	0.3	0.5	-0.036681128016011276	10.740234368579074	2.8557984854925214	19.737498853282954	LOCALLY_SOLVED
1.0	3.5	0.15	1.5	0.3	0.5	-0.023319747562640786	10.650685315734515	2.7980151710994443	19.977671187553092	LOCALLY_SOLVED
1.5	3.5	0.15	1.5	0.3	0.5	-0.030159168771749876	10.670581620168933	2.8208374353782038	19.750790744996298	LOCALLY_SOLVED
2.0	3.5	0.15	1.5	0.3	0.5	-0.03699230123402429	10.690525079906685	2.843723628410569	19.525070790643575	LOCALLY_SOLVED
1.0	4.0	0.15	1.5	0.3	0.5	-0.023573994203174752	10.601027755753336	2.785966031088552	19.764069319006225	LOCALLY_SOLVED
1.5	4.0	0.15	1.5	0.3	0.5	-0.030443897952872594	10.620898732927866	2.8087767801837638	19.538339093040534	LOCALLY_SOLVED
2.0	4.0	0.15	1.5	0.3	0.5	-0.03730756581065865	10.640817187562542	2.8316519763308796	19.313769474730105	LOCALLY_SOLVED
1.0	3.0	0.1	2.0	0.3	0.5	-0.07179977441941657	10.946825797843351	3.002816372102832	19.1520117366589	LOCALLY_SOLVED
1.5	3.0	0.1	2.0	0.3	0.5	-0.0762012576228585	10.960158851734704	3.0181190906740833	19.004034947301115	LOCALLY_SOLVED
2.0	3.0	0.1	2.0	0.3	0.5	-0.08059970091181047	10.973511810532905	3.033448417535134	18.85657682955607	LOCALLY_SOLVED
1.0	3.5	0.1	2.0	0.3	0.5	-0.07212866130235748	10.913666557208693	2.994804029372439	19.011903588869725	LOCALLY_SOLVED
1.5	3.5	0.1	2.0	0.3	0.5	-0.07654287817944835	10.926988834890317	3.0101022866734213	18.864440863494035	LOCALLY_SOLVED
2.0	3.5	0.1	2.0	0.3	0.5	-0.0809540655674066	10.940331106271248	3.0254272920768117	18.717496868205828	LOCALLY_SOLVED
